Date,TCS,Reliance,HDFC,SBI
2018-07-30,1763.1072998046875,1140.834839,1071.217651,279.926086
2018-07-31,1759.117919921875,1175.11731,1075.956909,276.255188
2018-08-01,1792.030029296875,1181.408936,1065.688599,277.76123
2018-08-02,1766.5523681640625,1157.62915,1051.618896,276.631744
2018-08-03,1794.704833984375,1166.150269,1047.397949,281.667389
2018-08-06,1791.168701171875,1181.656616,1043.769531,290.373871
2018-08-07,1783.7337646484375,1173.33374,1051.964478,286.185333
2018-08-08,1789.763427734375,1206.526367,1054.655151,290.562164
2018-08-09,1790.08056640625,1206.774048,1045.842896,298.750946
2018-08-10,1807.0806884765625,1193.150269,1043.843628,286.561859
2018-08-13,1813.47265625,1176.801514,1032.587769,276.867004
2018-08-14,1816.5552978515625,1199.491577,1031.329102,277.572968
2018-08-16,1821.04345703125,1189.781494,1024.713867,275.502228
2018-08-17,1824.896728515625,1192.704468,1025.528442,284.349915
2018-08-20,1822.3580322265625,1223.568604,1034.834106,289.573822
2018-08-21,1829.3394775390625,1235.755615,1034.760132,288.962006
2018-08-23,1845.1607666015625,1257.801392,1026.787231,284.679352
2018-08-24,1852.323486328125,1265.77771,1021.825928,282.796875
2018-08-27,1859.4859619140625,1279.649292,1027.058838,289.90329
2018-08-28,1876.0782470703125,1306.896851,1034.167725,287.408966
2018-08-29,1878.6165771484373,1282.324341,1026.096191,291.503387
2018-08-30,1888.0460205078125,1262.755615,1019.97467,290.468048
2018-08-31,1884.4195556640625,1230.256592,1017.555603,291.409271
2018-09-03,1861.29931640625,1217.871338,1024.392944,288.35022
2018-09-04,1903.006103515625,1230.553833,1012.915161,278.984802
2018-09-05,1885.1905517578125,1215.741089,1009.977722,279.126007
2018-09-06,1881.608642578125,1249.825439,1013.112549,279.031891
2018-09-07,1885.734130859375,1266.867554,1015.45752,274.513916
2018-09-10,1886.550048828125,1244.326294,1007.657532,268.113464
2018-09-11,1855.27001953125,1226.342773,987.540405,265.995667
2018-09-12,1853.1846923828125,1241.00708,993.192871,268.536987
2018-09-14,1872.633056640625,1241.651123,1001.955627,273.572693
2018-09-17,1880.566162109375,1214.651245,983.492249,268.536987
2018-09-18,1877.4832763671875,1205.981445,982.011292,257.712708
2018-09-19,1883.9658203125,1199.640137,968.262512,255.547836
2018-09-21,1906.85888671875,1206.328247,972.656189,254.700714
2018-09-24,1993.2642822265625,1220.744751,950.663086,248.817932
2018-09-25,1979.438232421875,1219.307983,963.844177,254.983078
2018-09-26,1942.2198486328125,1239.917114,971.644104,248.347351
2018-09-27,1984.56103515625,1242.245605,975.568848,249.759216
